date,open,high,low,close,volume
2016-03-10,26.6355,26.7415,26.3034,26.4325,33147925
2016-03-11,26.609,26.9975,26.609,26.7856,32161646
2016-03-14,26.6797,26.8121,26.5561,26.7238,22162664
2016-03-15,26.5119,26.8121,26.5119,26.7326,28899038
2016-03-16,26.6973,26.7591,26.5428,26.6355,32846963
2016-03-17,26.6797,27.4654,26.6399,27.333,60642867
2016-03-18,27.4477,27.5007,27.28,27.2976,52373900
2016-03-21,27.2358,27.5448,27.1829,27.4477,27368276
2016-03-22,27.3506,27.5802,27.3418,27.4212,26035992
2016-03-23,27.4036,27.5802,27.3771,27.4301,27235058
2016-03-24,27.2888,27.4654,27.2094,27.4654,27602998
2016-03-28,27.4919,27.9863,27.4521,27.8009,39486776
2016-03-29,27.7744,27.8803,27.6155,27.792,38549776
2016-03-30,28.0392,28.207,28.0128,28.101,35094037
2016-03-31,28.154,28.2953,28.0392,28.0657,36834319
2016-04-01,27.8097,28.2688,27.7656,28.1893,39399551
2016-04-04,27.9774,27.9951,27.4433,27.5713,44929034
2016-04-05,27.3241,27.483,27.174,27.3506,31282070
2016-04-06,27.2712,27.8097,27.0504,27.28,36643203
2016-04-07,27.1211,27.174,26.9357,27.0416,33563505
2016-04-08,27.28,27.4345,27.0946,27.1829,26808894
2016-04-11,27.2182,27.3683,27.1122,27.1122,25126508
2016-04-12,27.0858,27.3065,26.9975,27.2005,27555276
2016-04-13,27.3506,27.4566,27.3153,27.3506,23692740
2016-04-14,27.3594,27.4389,27.2447,27.3859,21497386
2016-04-15,27.4301,27.4566,27.3065,27.3948,24440120
2016-04-18,27.28,27.536,27.28,27.4212,21074404
2016-04-19,27.4919,27.5537,27.3771,27.5007,22872438
2016-04-20,27.5448,27.6773,27.4124,27.5007,26550897
2016-04-21,27.4742,27.6155,27.2358,27.3506,39651443
2016-04-22,27.3948,27.5272,26.7591,27.1564,56497503
2016-04-25,27.2005,27.2447,26.8386,27.0858,35476455
2016-04-26,27.227,27.3506,27.1343,27.28,28684889
2016-04-27,27.3153,27.3771,27.2049,27.3065,22943908
2016-04-28,27.1387,27.5625,27.1034,27.28,28826782
2016-04-29,27.1476,27.3418,27.0151,27.1476,28902630
2016-05-02,27.0504,27.3594,27.0416,27.2712,17191087
2016-05-03,27.0504,27.1122,26.7944,27.0416,27715452
2016-05-04,26.8386,26.8518,26.3883,26.5472,39794591
2016-05-05,26.609,26.6973,26.3089,26.3883,31699161
2016-05-06,26.2029,26.6973,25.9645,26.5914,28301406
2016-05-09,26.5296,26.5649,26.1588,26.3707,27154282
2016-05-10,26.4766,26.9798,26.4678,26.9092,27130428
2016-05-11,26.9268,27.1476,26.7856,26.7856,23610512
2016-05-12,26.3442,26.6576,26.3442,26.5649,47269596
2016-05-13,26.4589,26.5825,26.0793,26.1676,35266929
2016-05-16,26.0881,26.6002,26.0617,26.4501,25698303
2016-05-17,26.3883,26.5649,26.1179,26.2294,33520126
2016-05-18,26.2206,26.353,25.9822,26.1411,27805495
2016-05-19,25.8939,25.9999,25.6555,25.9204,34044846
2016-05-20,26.0705,26.2029,25.9822,26.097,35004526
2016-05-23,26.0617,26.1941,25.9645,26.0352,23615442
2016-05-24,26.2382,26.4545,26.2073,26.353,24220349
2016-05-25,26.4854,26.7679,26.4501,26.5649,27663897
2016-05-26,26.5472,26.6885,26.4854,26.5031,22647449
2016-05-27,26.609,26.6532,26.5207,26.5914,19499066
2016-05-31,26.5914,26.7856,26.5472,26.6885,30296320
2016-06-01,26.5207,26.609,26.3883,26.5825,21126650
2016-06-02,26.4943,26.5296,26.353,26.5296,19031309
2016-06-03,26.5031,26.5296,26.3177,26.4325,23802487
2016-06-06,26.4854,26.6885,26.4413,26.5914,18662105
2016-06-07,26.609,26.8474,26.6002,26.609,25650883
2016-06-08,26.6885,26.9268,26.6267,26.7591,29141296
2016-06-09,26.6267,26.7768,26.5031,26.6973,26527176
2016-06-10,26.5031,26.7326,26.4236,26.5207,29429998
2016-06-13,26.4678,26.6002,26.3,26.3353,32959955
2016-06-14,26.3265,26.8915,26.3,26.8739,43700512
2016-06-15,26.9092,27.2888,26.9004,26.9004,43765244
2016-06-16,26.8106,27.3443,26.7572,27.2554,67618136
2016-06-17,27.2643,27.3265,27.0864,27.2198,55635867
2016-06-20,27.4422,27.8603,27.4244,27.4244,47891137
2016-06-21,27.4689,27.5845,27.46,27.5222,36034262
2016-06-22,27.5756,27.6646,27.371,27.3799,36011780
2016-06-23,27.629,27.7624,27.5489,27.7446,40228963
2016-06-24,26.7839,27.1753,26.4637,26.526,85669178
2016-06-27,26.2769,26.3481,25.9478,26.0812,55173361
2016-06-28,26.5171,26.6861,26.3925,26.6327,38208496
2016-06-29,27.1397,27.2376,26.9529,27.1753,35868200
2016-06-30,27.2732,28.0204,27.2643,28.0026,54514457
2016-07-01,27.8692,28.136,27.8603,28.0115,32700349
2016-07-05,27.798,28.0471,27.6824,27.9759,32360464
2016-07-06,27.8158,28.2872,27.8113,28.2339,32105905
2016-07-07,28.2961,28.5541,28.2339,28.305,37517858
2016-07-08,28.4563,28.7053,28.4563,28.6431,38531744
2016-07-11,28.6964,28.9099,28.6253,28.652,37979065
2016-07-12,28.7409,28.901,28.5808,28.6964,38090962
2016-07-13,28.6964,28.8921,28.6875,28.7854,32464414
2016-07-14,28.9099,29.1056,28.901,29.0256,33877776
2016-07-15,29.1412,29.3102,29.1234,29.2479,42308770
2016-07-18,29.2568,29.3013,29.0522,29.2746,38265114
2016-07-19,29.1323,29.3102,29.1056,29.2924,33557724
2016-07-20,29.3191,29.3547,29.0878,29.159,35557794
2016-07-21,29.1145,29.2213,28.901,28.99,42869414
2016-07-22,28.225,28.5274,28.1894,28.5185,57763807
2016-07-25,28.5274,28.5363,27.9136,28.1449,45728700
2016-07-26,28.1716,28.225,27.8514,27.9937,36903949
2016-07-27,28.0115,28.0738,27.6824,27.8247,39256526
2016-07-28,27.7535,27.8514,27.6468,27.798,30297520
2016-07-29,27.8247,27.9549,27.6744,27.7001,50052182
2016-08-01,27.6824,27.7713,27.5934,27.709,31154871
2016-08-02,27.6735,27.7179,27.5756,27.6201,27000557
2016-08-03,27.6023,27.7891,27.5979,27.6913,20006018
2016-08-04,27.7535,27.798,27.6557,27.7268,20293694
2016-08-05,27.8158,27.9759,27.7713,27.8247,21577288
2016-08-08,27.8425,27.927,27.7624,27.8158,20434126
2016-08-09,27.7802,27.887,27.709,27.8425,20108832
2016-08-10,27.798,27.8736,27.7535,27.8158,18538116
2016-08-11,27.8514,27.9047,27.7535,27.8336,37986166
2016-08-12,27.7535,27.8247,27.7313,27.7891,21327002
2016-08-15,27.8425,27.887,27.7713,27.7891,19553314
2016-08-16,27.7001,27.8336,27.6468,27.7446,22383559
